ANIO	MES	UBIGEO_HECHO	DPTO_HECHO_NEW	PROV_HECHO	DIST_HECHO	TIPO	SUB_TIPO	MODALIDAD	n_dist_ID_DGC(Cantidad de Denuncias)
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	EXTORSION	EXTORSION	4
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO	42
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO	11
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO DURANTE LA NOCHE	2
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO EN CASA HABITADA	4
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO DE ACCESORIOS Y AUTOPARTES DE VEHICULOS	3
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO DE CELULAR	3
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	HURTO	HURTO DE VEHICULO	1
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	ROBO	ROBO AGRAVADO	8
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	ROBO	ROBO AGRAVADO A MANO ARMADA	1
2026	1	230101	TACNA	TACNA	TACNA	PATRIMONIO (DELITO)	ROBO	ROBO DE CELULAR	1
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	HURTO	HURTO	2
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO	1
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO EN CASA HABITADA	2
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	HURTO	HURTO DE ACCESORIOS Y AUTOPARTES DE VEHICULOS	2
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	HURTO	HURTO DE CELULAR	1
2026	1	230102	TACNA	TACNA	ALTO DE LA ALIANZA	PATRIMONIO (DELITO)	ROBO	ROBO AGRAVADO	1
2026	1	230103	TACNA	TACNA	CALANA	PATRIMONIO (DELITO)	HURTO	HURTO	1
2026	1	230104	TACNA	TACNA	CIUDAD NUEVA	PATRIMONIO (DELITO)	HURTO	HURTO	1
2026	1	230104	TACNA	TACNA	CIUDAD NUEVA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO DURANTE LA NOCHE	1
2026	1	230104	TACNA	TACNA	CIUDAD NUEVA	PATRIMONIO (DELITO)	HURTO	HURTO DE CELULAR	1
2026	1	230104	TACNA	TACNA	CIUDAD NUEVA	PATRIMONIO (DELITO)	HURTO	HURTO DE VEHICULO	1
2026	1	230106	TACNA	TACNA	PACHIA	PATRIMONIO (DELITO)	HURTO	HURTO	1
2026	1	230108	TACNA	TACNA	POCOLLAY	PATRIMONIO (DELITO)	HURTO	HURTO	4
2026	1	230108	TACNA	TACNA	POCOLLAY	PATRIMONIO (DELITO)	ROBO	ROBO	4
2026	1	230109	TACNA	TACNA	SAMA	PATRIMONIO (DELITO)	HURTO	HURTO	3
2026	1	230109	TACNA	TACNA	SAMA	PATRIMONIO (DELITO)	ROBO	ROBO	1
2026	1	230109	TACNA	TACNA	SAMA	PATRIMONIO (DELITO)	ROBO	TENTATIVA DE ROBO	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO	5
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO DURANTE LA NOCHE	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO AGRAVADO EN CASA HABITADA	2
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO DE ACCESORIOS Y AUTOPARTES DE VEHICULOS	3
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO DE CELULAR	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	HURTO	HURTO DE VEHICULO	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	ROBO	ASALTO Y ROBO DE VEHICULOS	1
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	ROBO	ROBO	2
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	ROBO	ROBO AGRAVADO	5
2026	1	230110	TACNA	TACNA	CORONEL GREGORIO ALBARRACIN LANCHIPA	PATRIMONIO (DELITO)	ROBO	ROBO AGRAVADO A MANO ARMADA	2
2026	1	230111	TACNA	TACNA	LA YARADA LOS PALOS	PATRIMONIO (DELITO)	HURTO	HURTO	1
